ym,year,month,avg_max_temp,avg_min_temp,avg_mean_temp,total_rain_mm,rainy_days,avg_soil_moisture,avg_et0,total_sunshine_hrs,avg_price,total_arrivals
2021-02,2021,2,28.914285714285715,14.228571428571428,21.210714285714285,0.0,0,0.2759285714285714,4.965000000000001,303.0338805555555,4981.178571428572,9309.779999999999
2021-03,2021,3,34.50322580645161,19.596774193548388,27.070967741935487,1.0,0,0.2521935483870968,6.906451612903226,359.6478,4447.129032258064,11147.29
2021-04,2021,4,37.730000000000004,23.933333333333334,31.003333333333334,0.0,0,0.25233333333333335,8.254666666666667,347.88822500000003,4284.766666666666,4477.06
2021-05,2021,5,36.987096774193546,25.325806451612905,31.048387096774192,49.099999999999994,4,0.2802258064516129,7.514193548387096,340.5410305555555,4794.620689655172,1441.2
2021-06,2021,6,33.653333333333336,24.873333333333335,28.88,138.7,15,0.35856666666666664,5.471666666666667,304.6689944444445,4982.9,5928.76
2021-07,2021,7,30.361290322580647,24.361290322580647,27.08709677419355,286.5,18,0.4154193548387097,3.87,224.44293611111115,4898.903225806452,5571.32
2021-08,2021,8,27.81935483870968,22.938709677419357,25.03548387096774,288.6,25,0.46583870967741936,2.975806451612903,201.9911972222222,5040.612903225807,6272.85
2021-09,2021,9,28.486666666666668,23.17,25.243333333333332,361.0,29,0.4917666666666667,2.866,233.8833361111111,4252.172413793103,8227.63
2021-10,2021,10,29.690322580645162,20.051612903225806,24.493548387096773,65.5,7,0.37135483870967745,4.091935483870968,329.50090555555556,4354.166666666667,8357.91
2021-11,2021,11,28.013333333333332,14.646666666666667,20.866666666666667,7.2,2,0.3092666666666667,3.8886666666666665,303.03423888888886,4176.464285714285,5197.96
2021-12,2021,12,23.174193548387095,12.180645161290323,17.17096774193548,46.5,4,0.356,2.6832258064516132,271.1894111111111,2543.516129032258,18569.41
2022-01,2022,1,22.532258064516128,9.738709677419354,15.670967741935485,12.8,4,0.3165806451612903,3.0280645161290325,307.9859305555555,1835.258064516129,15415.82
2022-02,2022,2,27.724999999999998,13.153571428571428,20.164285714285715,0.0,0,0.27053571428571427,4.838928571428572,304.0794972222222,2829.1428571428573,12380.16
2022-03,2022,3,35.20645161290323,19.751612903225805,27.43548387096774,1.2,1,0.24829032258064515,6.879677419354839,353.6802916666667,2636.4193548387098,13642.1
2022-04,2022,4,39.72666666666667,25.076666666666664,32.52333333333333,4.2,1,0.2453,9.104000000000001,355.1287555555556,3142.1666666666665,12382.4
2022-05,2022,5,39.49032258064516,26.467741935483872,33.012903225806454,3.1,1,0.2671612903225806,9.023870967741935,370.34247222222217,3139.064516129032,11311.32
2022-06,2022,6,36.24666666666667,25.776666666666664,30.720000000000002,33.6,8,0.3107666666666667,6.8406666666666665,310.19466111111115,2743.2,10148.2
2022-07,2022,7,29.193548387096776,23.519354838709678,25.812903225806455,330.3,25,0.4828387096774194,3.1980645161290324,170.65860555555554,3045.516129032258,8837.6
2022-08,2022,8,28.616129032258065,23.02258064516129,25.358064516129033,425.4,23,0.46841935483870967,3.44,231.66866111111116,3062.4193548387098,5824.49
2022-09,2022,9,29.866666666666667,22.756666666666668,25.91,108.9,13,0.41313333333333335,4.0456666666666665,305.1383666666666,1774.9333333333334,6383.93
2022-10,2022,10,30.638709677419353,19.27741935483871,24.612903225806452,73.1,5,0.3155806451612903,4.668387096774193,320.3789777777778,1543.4516129032259,3275.1
2022-11,2022,11,29.496666666666666,15.333333333333334,22.12,0.0,0,0.2539666666666667,4.276666666666667,312.08702777777773,2056.766666666667,9257.03
2022-12,2022,12,27.116129032258065,13.506451612903225,19.748387096774195,0.30000000000000004,0,0.2614193548387097,3.54,310.28311388888886,1745.483870967742,9581.0
2023-01,2023,1,23.84516129032258,10.2,16.283870967741937,13.9,2,0.28835483870967743,3.3929032258064518,310.0145083333333,1856.0967741935483,9409.02
2023-02,2023,2,29.70357142857143,13.8,21.360714285714288,0.0,0,0.28357142857142853,4.96,304.338775,3652.8928571428573,9202.29
2023-03,2023,3,31.80322580645161,18.429032258064513,24.799999999999997,16.0,2,0.27170967741935487,5.666129032258064,347.2678972222222,3983.516129032258,9064.75
2023-04,2023,4,35.45,22.236666666666668,28.759999999999998,4.699999999999999,2,0.2676,7.443333333333333,340.4151305555555,4172.733333333334,11819.59
2023-05,2023,5,37.11612903225806,24.606451612903225,30.79032258064516,3.6,1,0.2917096774193549,7.828387096774194,368.4548722222222,4882.258064516129,12618.41
2023-06,2023,6,34.96,25.77,29.886666666666667,117.0,12,0.31366666666666665,6.244666666666666,272.8179,5839.433333333333,10460.4
2023-07,2023,7,30.44193548387097,24.070967741935487,26.62258064516129,286.9,29,0.4882258064516129,3.6461290322580644,226.41011666666668,6666.096774193548,14075.67
2023-08,2023,8,28.83225806451613,23.19677419354839,25.519354838709678,84.6,17,0.458741935483871,3.7706451612903225,256.857975,8246.633333333333,8584.119999999999
2023-09,2023,9,29.883333333333333,23.35666666666667,26.113333333333333,215.0,18,0.4319,3.9133333333333336,279.85296944444445,8237.034482758621,4007.2
2023-10,2023,10,32.15483870967742,20.38064516129032,26.06451612903226,0.1,0,0.27338709677419354,5.227096774193548,343.32313055555557,9030.8,7951.41
2023-11,2023,11,29.243333333333332,16.653333333333332,22.709999999999997,40.800000000000004,3,0.2780333333333333,4.060666666666666,306.5671777777777,11657.07142857143,5837.1
2023-12,2023,12,24.77741935483871,13.380645161290323,18.470967741935485,9.600000000000001,3,0.3530645161290323,2.776774193548387,282.16349444444444,15525.185185185184,4550.96
2024-01,2024,1,24.516129032258064,11.593548387096773,17.37741935483871,1.2,0,0.30848387096774194,3.136451612903226,293.11574444444443,17373.0,1012.95
2024-02,2024,2,28.57241379310345,15.024137931034483,21.33448275862069,0.6,0,0.26586206896551723,4.837241379310345,311.5922444444444,11837.24,2291.25
2024-03,2024,3,33.49032258064516,18.706451612903226,26.041935483870965,0.3,0,0.26370967741935486,6.78,359.50157777777775,7016.310344827586,2468.8
2024-04,2024,4,37.333333333333336,24.203333333333333,30.779999999999998,5.7,2,0.25933333333333336,7.982333333333333,346.0719833333333,8608.814814814816,1409.48
2024-05,2024,5,41.12580645161291,27.729032258064517,34.52903225806452,0.39999999999999997,0,0.26006451612903225,8.701290322580645,353.86713333333336,9513.5,1806.76
2024-06,2024,6,36.93,26.216666666666665,31.176666666666666,147.4,11,0.32966666666666666,6.381666666666666,297.55136666666664,11127.448275862069,1281.48
2024-07,2024,7,30.274193548387096,24.26451612903226,26.738709677419354,321.6,28,0.47845161290322585,3.2996774193548384,166.80080555555557,12254.5,1503.06
2024-08,2024,8,28.187096774193545,23.416129032258063,25.37741935483871,421.4,27,0.47987096774193544,2.9764516129032255,194.73222777777778,16520.48275862069,1608.56
2024-09,2024,9,29.073333333333334,22.85,25.416666666666668,243.4,20,0.4533,3.3303333333333334,238.03505833333332,19001.0,1195.19
2024-10,2024,10,31.493548387096773,21.067741935483873,25.896774193548385,14.7,2,0.3285806451612903,4.333548387096775,312.4200361111111,19819.964285714286,1096.56
2024-11,2024,11,28.82,15.586666666666668,21.92,0.0,0,0.2504,3.976,315.8564083333334,22376.423076923078,937.68
