refYear,reporterCode,reporterDesc,partnerCode,partnerDesc,flowCode,cmdCode,cmdDesc,qty,qtyUnitAbbr,cifvalue,fobvalue,primaryValue,reporter_name,flow_label
2017,156,,0,,X,070320,,81000,,,60760,60760,China,exports_to_world
2024,156,,0,,X,070320,,2353891745,,,3151160883,3151160883,China,exports_to_world
2017,156,,0,,X,070320,,21000,,,15641,15641,China,exports_to_world
2017,156,,0,,X,070320,,9029180,,,17070400,17070400,China,exports_to_world
2017,156,,0,,X,070320,,45216754,,,54807718,54807718,China,exports_to_world
2017,156,,0,,X,070320,,533830067,,,575477208,575477208,China,exports_to_world
2017,156,,0,,X,070320,,147519311,,,166814473,166814473,China,exports_to_world
2017,156,,0,,X,070320,,48094921,,,116992295,116992295,China,exports_to_world
2017,156,,0,,X,070320,,36453465,,,42255978,42255978,China,exports_to_world
2017,156,,0,,X,070320,,14863070,,,17534161,17534161,China,exports_to_world
2017,156,,0,,X,070320,,193922795,,,311782042,311782042,China,exports_to_world
2017,156,,0,,X,070320,,20609128,,,50875483,50875483,China,exports_to_world
2017,156,,0,,X,070320,,20000,,,17800,17800,China,exports_to_world
2017,156,,0,,X,070320,,25000,,,15000,15000,China,exports_to_world
2018,156,,0,,X,070320,,1881736112,,0.0,1409820124,1409820124,China,exports_to_world
2022,156,,0,,X,070320,,2035905147,,,1796196575,1796196575,China,exports_to_world
2017,156,,0,,X,070320,,468884,,,712413,712413,China,exports_to_world
2017,156,,0,,X,070320,,67533228,,,76196323,76196323,China,exports_to_world
2017,156,,0,,X,070320,,264030,,,416605,416605,China,exports_to_world
2017,156,,0,,X,070320,,262876,,,241440,241440,China,exports_to_world
2019,156,,0,,X,070320,,1761126723,,0.0,1991142267,1991142267,China,exports_to_world
2020,156,,0,,X,070320,,2254426712,,0.0,2063350939,2063350939,China,exports_to_world
2023,156,,0,,X,070320,,2032197543,,,2367488857,2367488857,China,exports_to_world
2017,156,,0,,X,070320,,72000,,,79400,79400,China,exports_to_world
2017,156,,0,,X,070320,,663345,,,1500645,1500645,China,exports_to_world
2017,156,,0,,X,070320,,7176030,,,8840183,8840183,China,exports_to_world
2017,156,,0,,X,070320,,3556220,,,5025843,5025843,China,exports_to_world
2017,156,,0,,X,070320,,314260,,,322206,322206,China,exports_to_world
2017,156,,0,,X,070320,,72435,,,133740,133740,China,exports_to_world
2017,156,,0,,X,070320,,51500,,,111876,111876,China,exports_to_world
2017,156,,0,,X,070320,,4604485,,,6350578,6350578,China,exports_to_world
2017,156,,0,,X,070320,,4889220,,,6629517,6629517,China,exports_to_world
2017,156,,0,,X,070320,,1063740,,,1658881,1658881,China,exports_to_world
2017,156,,0,,X,070320,,482420,,,447327,447327,China,exports_to_world
2017,156,,0,,X,070320,,281488,,,495816,495816,China,exports_to_world
2017,156,,0,,X,070320,,5884850,,,8057605,8057605,China,exports_to_world
2017,156,,0,,X,070320,,3271330,,,2978446,2978446,China,exports_to_world
2017,156,,0,,X,070320,,767905,,,1195489,1195489,China,exports_to_world
2017,156,,0,,X,070320,,3993990,,,4618289,4618289,China,exports_to_world
2021,156,,0,,X,070320,,1907786544,,,2032520108,2032520108,China,exports_to_world
